Dates,United States,Britain,Italy,Britain/Egypt,France,Spain,Belgium,Portugal,South Africa,Ethiopia,Republic of the Sudan
1847,1,0,0,0,0,0,0,0,0,0,0
1910,0,1,0,0,0,0,0,0,0,0,0
1922,0,1,0,0,0,0,0,0,0,0,0
1941,0,0,1,0,0,0,0,0,0,0,0
1951,0,1,0,0,0,0,0,0,0,0,0
1956,0,0,0,1,2,1,0,0,0,0,0
1957,0,1,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,1,1,0,0,0,0,0
1960,0,2,0,0,14,0,1,0,0,0,0
1961,0,4,0,0,0,0,0,0,0,0,0
1962,0,1,0,0,1,0,2,0,0,0,0
1963,0,1,0,0,0,0,0,0,0,0,0
1964,0,2,0,0,0,0,0,0,0,0,0
1965,0,1,0,0,0,0,0,0,0,0,0
1966,0,2,0,0,0,0,0,0,0,0,0
1968,0,2,0,0,0,1,0,0,0,0,0
1969,0,0,0,0,0,1,0,0,0,0,0
1973,0,0,0,0,0,0,0,1,0,0,0
1975,0,0,0,0,1,0,0,4,0,0,0
1976,0,1,0,0,0,1,0,0,0,0,0
1977,0,0,0,0,1,0,0,0,0,0,0
1980,0,1,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,1,0,0
1993,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,0,0,0,0,0,0,0,1
